City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,zajecar,43.9,22.26,29.35,69,0,2.44,RS,1581213405
266,fort-shevchenko,44.51,50.26,29.89,96,100,21.03,KZ,1581213405
267,zarautz,43.28,-2.17,50.0,100,24,2.24,ES,1581213405
268,college,64.86,-147.8,30.2,92,90,4.7,US,1581213405
269,laguna,38.42,-121.42,62.6,69,1,3.36,US,1581213405
270,ust-nera,64.57,143.2,-31.41,100,100,3.06,RU,1581213405
271,leshukonskoye,64.9,45.76,15.33,94,100,8.25,RU,1581213405
272,matara,5.95,80.54,77.43,67,21,7.78,LK,1581213405
273,asgabat,37.95,58.38,55.4,62,75,6.93,TM,1581213306
274,jam sahib,26.3,68.63,58.03,26,0,2.46,PK,1581213406
275,saint-philippe,-21.36,55.77,73.4,78,20,10.29,RE,1581213406
276,mersing,2.43,103.84,79.72,84,100,17.34,MY,1581213406
277,chinchani,19.87,72.7,72.18,50,34,14.03,IN,1581213406
278,kaitangata,-46.28,169.85,55.22,81,100,25.93,NZ,1581213406
279,lovozero,68.0,35.01,24.8,94,100,5.28,RU,1581213406
280,tayshet,55.93,98.0,35.62,80,100,12.08,RU,1581213406
281,mansa,29.98,75.38,49.15,56,0,2.01,IN,1581213406
282,tongren,27.72,109.19,48.27,63,10,5.12,CN,1581213406
283,jawhar,2.78,45.5,70.25,94,23,7.72,SO,1581213406
284,russell,32.35,-85.2,46.4,93,1,3.8,US,1581213406
285,tazovskiy,67.47,78.7,-15.03,92,65,7.78,RU,1581213406
286,amahai,-3.33,128.92,84.63,70,88,11.81,ID,1581213407
287,uruzgan,32.83,66.0,22.42,46,100,9.19,AF,1581213407
288,faanui,-16.48,-151.75,82.4,83,100,21.18,PF,1581213408
289,kahului,20.89,-156.47,73.4,60,40,11.52,US,1581213408
290,teahupoo,-17.83,-149.27,87.8,58,40,5.82,PF,1581213408
291,torbay,47.67,-52.73,24.01,67,90,23.04,CA,1581213408
292,bathsheba,13.22,-59.52,78.8,78,75,17.22,BB,1581213246
293,kamenka,51.32,42.77,1.99,88,0,3.0,RU,1581213408
294,guerrero negro,27.98,-114.06,61.02,78,59,6.87,MX,1581213408
295,faya,18.39,42.45,59.0,87,21,3.91,SA,1581213408
296,chengde,40.97,117.94,26.31,61,0,4.12,CN,1581213408
297,kulhudhuffushi,6.62,73.07,81.75,76,68,16.44,MV,1581213141
298,dubbo,-32.25,148.62,68.0,88,75,14.99,AU,1581213157
299,hitoyoshi,32.22,130.75,44.6,56,20,8.05,JP,1581213408
300,whitecourt,54.15,-115.69,24.8,68,5,4.7,CA,1581213408
301,ishikari,43.24,141.35,21.0,56,75,12.75,JP,1581213408
302,cayenne,4.93,-52.33,80.6,74,89,6.93,GF,1581213408
303,longfeng,46.55,125.12,10.27,90,100,6.93,CN,1581213409
304,amasya,40.67,35.83,23.0,67,75,4.7,TR,1581213409
305,houma,29.6,-90.72,62.6,87,20,5.82,US,1581213410
306,ironton,38.54,-82.68,35.6,100,90,4.03,US,1581213410
307,holme,56.11,10.17,42.8,93,67,12.75,DK,1581213410
308,killybegs,54.63,-8.45,46.0,94,100,14.0,IE,1581213410
309,labuhan,-6.88,112.21,83.64,74,100,7.23,ID,1581213410
310,diffa,13.32,12.61,65.37,26,4,13.4,NE,1581213410
311,bandipur,27.93,84.42,54.16,32,0,1.92,NP,1581213410
312,tocopilla,-22.09,-70.2,59.88,46,41,3.56,CL,1581213410
313,walvis bay,-22.96,14.51,63.0,87,9,5.82,NA,1581213410
314,klaksvik,62.23,-6.59,39.2,69,1,8.05,FO,1581213410
315,nantucket,41.28,-70.1,33.8,60,1,3.36,US,1581213410
316,ixtapa,20.7,-105.2,77.0,73,75,9.17,MX,1581213410
317,hanzhong,33.07,107.03,49.3,42,0,1.9,CN,1581213410
318,anito,12.45,125.29,80.31,81,69,22.1,PH,1581213413
319,amapa,1.0,-52.0,70.63,98,97,2.3,BR,1581213299
320,campos,-21.75,-41.3,71.24,96,0,4.0,BR,1581213413
321,khorixas,-20.37,14.97,66.92,44,10,3.06,NA,1581213413
322,tessalit,20.2,1.01,62.46,15,68,11.95,ML,1581213229
323,ankang,32.68,109.02,51.01,32,0,5.99,CN,1581213415
324,san patricio,19.22,-104.7,78.8,83,5,6.87,MX,1581213415
325,vardo,70.37,31.11,35.4,80,100,15.12,NO,1581213415
326,lidkoping,58.51,13.16,39.99,100,100,11.41,SE,1581213415
327,douglas,41.3,-96.17,37.0,64,40,16.11,US,1581213415
328,andenes,69.31,16.12,39.0,86,100,9.17,NO,1581213415
329,avera,33.19,-82.53,44.6,93,90,3.36,US,1581213415
